distortion,severity,variant,accuracy,nll,ece
impulse_noise,4,f_large_TS,0.46187999844551086,2.7842061519622803,6.81884241104126
impulse_noise,4,f_small_TS,0.11343999952077866,5.216906547546387,6.42734956741333
impulse_noise,4,Duo_Joint_TS,0.4450399875640869,2.925093650817871,6.625361442565918
impulse_noise,5,f_large,0.230320006608963,4.581553936004639,5.485832691192627
impulse_noise,5,f_small,0.026419999077916145,7.149185657501221,7.659021854400635
impulse_noise,5,f_large_TS,0.230320006608963,4.556166648864746,6.050502300262451
impulse_noise,5,f_small_TS,0.026419999077916145,6.535713195800781,5.6849260330200195
impulse_noise,5,Duo_Joint_TS,0.21852000057697296,4.632701396942139,5.451657295227051
defocus_blur,1,f_large,0.7140200138092041,1.420324683189392,6.924549102783203
defocus_blur,1,f_small,0.5899999737739563,1.7614737749099731,12.579614639282227
defocus_blur,1,f_large_TS,0.7140200138092041,1.3058440685272217,7.679123878479004
defocus_blur,1,f_small_TS,0.5899999737739563,1.8565404415130615,9.196845054626465
defocus_blur,1,Duo_Joint_TS,0.7117999792098999,1.2191731929779053,9.206986427307129
defocus_blur,2,f_large,0.659280002117157,1.698377013206482,6.798847675323486
defocus_blur,2,f_small,0.5177199840545654,2.1514694690704346,11.498629570007324
defocus_blur,2,f_large_TS,0.659280002117157,1.5872796773910522,7.5355987548828125
defocus_blur,2,f_small_TS,0.5177199840545654,2.2669477462768555,8.412090301513672
defocus_blur,2,Duo_Joint_TS,0.6570600271224976,1.5085176229476929,8.740339279174805
defocus_blur,3,f_large,0.5258399844169617,2.4433443546295166,6.459091663360596
defocus_blur,3,f_small,0.3787600100040436,2.9971389770507812,9.649005889892578
defocus_blur,3,f_large_TS,0.5258399844169617,2.3462531566619873,7.149096488952637
defocus_blur,3,f_small_TS,0.3787600100040436,3.1267025470733643,7.073258876800537
defocus_blur,3,Duo_Joint_TS,0.5247799754142761,2.2640371322631836,7.836460590362549
defocus_blur,4,f_large,0.39017999172210693,3.278505563735962,6.162234306335449
defocus_blur,4,f_small,0.2647800147533417,3.8085434436798096,8.369033813476562
defocus_blur,4,f_large_TS,0.39017999172210693,3.212674617767334,6.809513568878174
defocus_blur,4,f_small_TS,0.2647800147533417,3.906921863555908,6.15133810043335
defocus_blur,4,Duo_Joint_TS,0.3921400010585785,3.1141223907470703,7.154555797576904
defocus_blur,5,f_large,0.2631399929523468,4.136890888214111,5.937130928039551
defocus_blur,5,f_small,0.17900000512599945,4.536066055297852,7.510704517364502
defocus_blur,5,f_large_TS,0.2631399929523468,4.115661144256592,6.549623966217041
defocus_blur,5,f_small_TS,0.17900000512599945,4.571897029876709,5.5355143547058105
